Input,Threshold,Accuracy
0.1,0.002,0.0
0.2,0.002,0.3372093023255814
0.30000000000000004,0.002,0.5348837209302325
0.4,0.002,0.8197674418604651
0.5,0.002,0.8662790697674418
0.6,0.002,0.8662790697674418
0.7000000000000001,0.002,0.8604651162790697
0.8,0.002,0.8604651162790697
0.9,0.002,0.8604651162790697
1.0,0.002,0.8604651162790697
0.1,0.004,0.0
0.2,0.004,0.32558139534883723
0.30000000000000004,0.004,0.5232558139534884
0.4,0.004,0.7790697674418605
0.5,0.004,0.8662790697674418
0.6,0.004,0.8604651162790697
0.7000000000000001,0.004,0.8604651162790697
0.8,0.004,0.8604651162790697
0.9,0.004,0.8604651162790697
1.0,0.004,0.8604651162790697
0.1,0.006,0.0
0.2,0.006,0.31976744186046513
0.30000000000000004,0.006,0.5174418604651163
0.4,0.006,0.6627906976744186
0.5,0.006,0.8604651162790697
0.6,0.006,0.8604651162790697
0.7000000000000001,0.006,0.8604651162790697
0.8,0.006,0.8604651162790697
0.9,0.006,0.8488372093023255
1.0,0.006,0.8488372093023255
0.1,0.008,0.0
0.2,0.008,0.313953488372093
0.30000000000000004,0.008,0.5
0.4,0.008,0.6569767441860465
0.5,0.008,0.8546511627906976
0.6,0.008,0.8604651162790697
0.7000000000000001,0.008,0.8488372093023255
0.8,0.008,0.8488372093023255
0.9,0.008,0.8488372093023255
1.0,0.008,0.8488372093023255
0.1,0.01,0.0
0.2,0.01,0.3023255813953488
0.30000000000000004,0.01,0.4941860465116279
0.4,0.01,0.6569767441860465
0.5,0.01,0.8313953488372093
0.6,0.01,0.8488372093023255
0.7000000000000001,0.01,0.8488372093023255
0.8,0.01,0.8488372093023255
0.9,0.01,0.8488372093023255
1.0,0.01,0.8488372093023255
0.1,0.012,0.0
0.2,0.012,0.27325581395348836
0.30000000000000004,0.012,0.47674418604651164
0.4,0.012,0.6453488372093024
0.5,0.012,0.8313953488372093
0.6,0.012,0.8488372093023255
0.7000000000000001,0.012,0.8488372093023255
0.8,0.012,0.8488372093023255
0.9,0.012,0.8488372093023255
1.0,0.012,0.8546511627906976
0.1,0.014,0.0
0.2,0.014,0.27325581395348836
0.30000000000000004,0.014,0.47674418604651164
0.4,0.014,0.627906976744186
0.5,0.014,0.8313953488372093
0.6,0.014,0.8488372093023255
0.7000000000000001,0.014,0.8488372093023255
0.8,0.014,0.8488372093023255
0.9,0.014,0.8488372093023255
1.0,0.014,0.8372093023255814
0.1,0.016,0.0
0.2,0.016,0.2616279069767442
0.30000000000000004,0.016,0.47093023255813954
0.4,0.016,0.6337209302325582
0.5,0.016,0.8197674418604651
0.6,0.016,0.8488372093023255
0.7000000000000001,0.016,0.8488372093023255
0.8,0.016,0.8488372093023255
0.9,0.016,0.8372093023255814
1.0,0.016,0.8372093023255814
0.1,0.018000000000000002,0.0
0.2,0.018000000000000002,0.2616279069767442
0.30000000000000004,0.018000000000000002,0.45930232558139533
0.4,0.018000000000000002,0.627906976744186
0.5,0.018000000000000002,0.8023255813953488
0.6,0.018000000000000002,0.8372093023255814
0.7000000000000001,0.018000000000000002,0.8313953488372093
0.8,0.018000000000000002,0.8372093023255814
0.9,0.018000000000000002,0.8372093023255814
1.0,0.018000000000000002,0.8372093023255814
0.1,0.020000000000000004,0.0
0.2,0.020000000000000004,0.2616279069767442
0.30000000000000004,0.020000000000000004,0.4418604651162791
0.4,0.020000000000000004,0.6104651162790697
0.5,0.020000000000000004,0.8023255813953488
0.6,0.020000000000000004,0.8313953488372093
0.7000000000000001,0.020000000000000004,0.8372093023255814
0.8,0.020000000000000004,0.8372093023255814
0.9,0.020000000000000004,0.8255813953488372
1.0,0.020000000000000004,0.8372093023255814
0.1,0.022,0.0
0.2,0.022,0.2616279069767442
0.30000000000000004,0.022,0.436046511627907
0.4,0.022,0.6104651162790697
0.5,0.022,0.7965116279069767
0.6,0.022,0.8255813953488372
0.7000000000000001,0.022,0.8313953488372093
0.8,0.022,0.8313953488372093
0.9,0.022,0.8313953488372093
1.0,0.022,0.8372093023255814
0.1,0.024,0.0
0.2,0.024,0.2616279069767442
0.30000000000000004,0.024,0.43023255813953487
0.4,0.024,0.6046511627906976
0.5,0.024,0.7965116279069767
0.6,0.024,0.8255813953488372
0.7000000000000001,0.024,0.8313953488372093
0.8,0.024,0.8255813953488372
0.9,0.024,0.8372093023255814
1.0,0.024,0.8313953488372093
0.1,0.026000000000000002,0.0
0.2,0.026000000000000002,0.2616279069767442
0.30000000000000004,0.026000000000000002,0.43023255813953487
0.4,0.026000000000000002,0.6046511627906976
0.5,0.026000000000000002,0.7790697674418605
0.6,0.026000000000000002,0.8255813953488372
0.7000000000000001,0.026000000000000002,0.8255813953488372
0.8,0.026000000000000002,0.8255813953488372
0.9,0.026000000000000002,0.8313953488372093
1.0,0.026000000000000002,0.8313953488372093
0.1,0.028000000000000004,0.0
0.2,0.028000000000000004,0.2558139534883721
0.30000000000000004,0.028000000000000004,0.43023255813953487
0.4,0.028000000000000004,0.6046511627906976
0.5,0.028000000000000004,0.7732558139534884
0.6,0.028000000000000004,0.8081395348837209
0.7000000000000001,0.028000000000000004,0.8197674418604651
0.8,0.028000000000000004,0.8313953488372093
0.9,0.028000000000000004,0.8197674418604651
1.0,0.028000000000000004,0.8255813953488372
0.1,0.03,0.0
0.2,0.03,0.2441860465116279
0.30000000000000004,0.03,0.43023255813953487
0.4,0.03,0.6046511627906976
0.5,0.03,0.7674418604651163
0.6,0.03,0.8023255813953488
0.7000000000000001,0.03,0.8081395348837209
0.8,0.03,0.8197674418604651
0.9,0.03,0.813953488372093
1.0,0.03,0.8197674418604651
0.1,0.032,0.0
0.2,0.032,0.2441860465116279
0.30000000000000004,0.032,0.4127906976744186
0.4,0.032,0.6046511627906976
0.5,0.032,0.7674418604651163
0.6,0.032,0.7965116279069767
0.7000000000000001,0.032,0.7965116279069767
0.8,0.032,0.8023255813953488
0.9,0.032,0.8023255813953488
1.0,0.032,0.8081395348837209
0.1,0.034,0.0
0.2,0.034,0.2441860465116279
0.30000000000000004,0.034,0.4011627906976744
0.4,0.034,0.6046511627906976
0.5,0.034,0.7674418604651163
0.6,0.034,0.7848837209302325
0.7000000000000001,0.034,0.8023255813953488
0.8,0.034,0.7965116279069767
0.9,0.034,0.8023255813953488
1.0,0.034,0.8023255813953488
0.1,0.036000000000000004,0.0
0.2,0.036000000000000004,0.23837209302325582
0.30000000000000004,0.036000000000000004,0.4011627906976744
0.4,0.036000000000000004,0.5930232558139535
0.5,0.036000000000000004,0.7732558139534884
0.6,0.036000000000000004,0.7790697674418605
0.7000000000000001,0.036000000000000004,0.7906976744186046
0.8,0.036000000000000004,0.7965116279069767
0.9,0.036000000000000004,0.8023255813953488
1.0,0.036000000000000004,0.8023255813953488
0.1,0.038000000000000006,0.0
